"Date","Species","Area","meanITD"
1971,"B.lapidarius","Belgium",6
1971,"B.pascuorum","England",5.21
1972,"B.hortorum","England",5.762
1972,"B.pratorum","Austria",5.33333333333333
1972,"B.pratorum","Belgium",5.29
1972,"B.pratorum","England",5.455
1974,"B.hortorum","England",5.66
1974,"B.lapidarius","Belgium",6.22
1974,"B.pascuorum","England",5.25666666666667
1974,"B.pratorum","England",5.53
1975,"B.hortorum","England",5.41666666666667
1975,"B.lapidarius","England",5.98666666666667
1976,"B.hortorum","Austria",5.97
1976,"B.lapidarius","Austria",6.21333333333333
1976,"B.lapidarius","England",6.04
1976,"B.pascuorum","Austria",5.05333333333333
1976,"B.pratorum","Austria",5.21
1976,"B.pratorum","England",5.3675
1977,"B.hortorum","England",5.62
1977,"B.lapidarius","England",5.98
1977,"B.pascuorum","Austria",4.87666666666667
1977,"B.pascuorum","England",5.2425
1977,"B.pratorum","Belgium",5.24666666666667
1978,"B.hortorum","Austria",5.9025
1978,"B.hortorum","England",5.53
1978,"B.pascuorum","Austria",5.09666666666667
1978,"B.pratorum","Austria",5.216
1978,"B.pratorum","England",5.395
1979,"B.hortorum","Austria",6.085
1979,"B.lapidarius","Austria",6.30333333333333
1979,"B.lapidarius","Belgium",6.33333333333333
1979,"B.pascuorum","Belgium",5.17
1979,"B.pascuorum","England",5.25333333333333
1979,"B.pratorum","Austria",5.36333333333333
1980,"B.hortorum","Austria",5.86333333333333
1980,"B.lapidarius","Austria",6.08666666666667
1980,"B.pascuorum","England",5.26333333333333
1981,"B.hortorum","Belgium",5.77666666666667
1981,"B.lapidarius","Belgium",6.09
1981,"B.pascuorum","Austria",5.18666666666667
1981,"B.pratorum","Austria",5.19
1981,"B.pratorum","Belgium",5.59
1982,"B.hortorum","Austria",5.85333333333333
1982,"B.pascuorum","Austria",5.37
1982,"B.pratorum","Austria",5.342
1983,"B.hortorum","Austria",5.86
1983,"B.hortorum","England",5.40333333333333
1983,"B.lapidarius","Austria",6.2625
1983,"B.lapidarius","Belgium",6.07
1983,"B.pascuorum","Austria",5.11166666666667
1983,"B.pratorum","Austria",5.09666666666667
1984,"B.hortorum","Belgium",5.8
1984,"B.lapidarius","Austria",6.355
1984,"B.lapidarius","Belgium",6.108
1984,"B.pascuorum","Austria",5.12666666666667
1984,"B.pascuorum","Belgium",5.12666666666667
1984,"B.pratorum","Austria",5.11
1984,"B.pratorum","Belgium",5.47
1985,"B.hortorum","Austria",5.7225
1985,"B.hortorum","Belgium",5.71
1985,"B.lapidarius","Austria",6.335
1985,"B.lapidarius","England",5.95
1985,"B.pascuorum","Austria",5.36
1985,"B.pascuorum","Belgium",5.326
1985,"B.pratorum","Austria",5.122
1985,"B.pratorum","Belgium",5.38
1986,"B.hortorum","Belgium",5.876
1986,"B.lapidarius","Belgium",6.155
1986,"B.pascuorum","Austria",4.90666666666667
1986,"B.pascuorum","England",5.31666666666667
1986,"B.pratorum","Belgium",5.48375
1987,"B.hortorum","Belgium",5.85666666666667
1987,"B.hortorum","England",5.38333333333333
1987,"B.lapidarius","Belgium",6.163
1987,"B.pascuorum","Austria",5.075
1987,"B.pascuorum","Belgium",4.8
1987,"B.pratorum","Austria",5.04333333333333
1987,"B.pratorum","Belgium",5.45571428571429
1988,"B.hortorum","Belgium",5.863
1988,"B.lapidarius","Belgium",6.184
1988,"B.pascuorum","Belgium",5.305
1988,"B.pratorum","Belgium",5.34
1989,"B.hortorum","Belgium",5.774
1989,"B.lapidarius","Austria",6.32
1989,"B.lapidarius","Belgium",6.23777777777778
1989,"B.lapidarius","England",5.94666666666667
1989,"B.pascuorum","Austria",5.20666666666667
1989,"B.pascuorum","Belgium",5.175
1989,"B.pratorum","Austria",5.32333333333333
1989,"B.pratorum","Belgium",5.42333333333333
1990,"B.hortorum","Austria",5.73
1990,"B.hortorum","Belgium",5.81428571428571
1990,"B.lapidarius","Belgium",6.301
1990,"B.pascuorum","Austria",5.03333333333333
1990,"B.pascuorum","Belgium",5.5075
1990,"B.pratorum","Austria",5.37
1990,"B.pratorum","Belgium",5.56625
1991,"B.hortorum","Belgium",5.805
1991,"B.lapidarius","Belgium",6.24857142857143
1991,"B.pascuorum","Belgium",5.458
1991,"B.pratorum","Belgium",5.31625
1992,"B.hortorum","Austria",5.82333333333333
1992,"B.hortorum","Belgium",5.89428571428571
1992,"B.hortorum","England",5.6
1992,"B.lapidarius","Austria",6.29666666666667
1992,"B.lapidarius","Belgium",6.3925
1992,"B.pascuorum","Austria",5.40666666666667
1992,"B.pascuorum","Belgium",5.35666666666667
1992,"B.pascuorum","England",5.3
1992,"B.pratorum","Belgium",5.48
1993,"B.hortorum","Belgium",5.85454545454545
1993,"B.lapidarius","Belgium",6.337
1993,"B.lapidarius","England",6.075
1994,"B.hortorum","Belgium",5.894
1994,"B.lapidarius","Austria",5.87333333333333
1994,"B.lapidarius","Belgium",6.3175
1994,"B.lapidarius","England",6.15
1994,"B.pascuorum","Austria",5.26
1994,"B.pascuorum","Belgium",5.21
1994,"B.pratorum","Belgium",5.412
1995,"B.hortorum","Belgium",5.9425
1995,"B.lapidarius","Belgium",6.31142857142857
1995,"B.pascuorum","Belgium",5.4625
1995,"B.pratorum","Austria",5.36
1995,"B.pratorum","Belgium",5.11
1996,"B.hortorum","Belgium",6.042
1996,"B.lapidarius","Austria",6.18333333333333
1996,"B.lapidarius","Belgium",6.237
1996,"B.lapidarius","England",6.114
1996,"B.pratorum","Austria",5.27666666666667
1996,"B.pratorum","Belgium",5.39
1996,"B.pratorum","England",5.44
1997,"B.hortorum","England",5.74
1997,"B.lapidarius","Belgium",6.44
1997,"B.lapidarius","England",6.15
1997,"B.pascuorum","England",5.32333333333333
1998,"B.hortorum","England",5.57
1998,"B.lapidarius","England",6.18666666666667
1998,"B.pascuorum","England",5.305
1998,"B.pratorum","England",5.40333333333333
1999,"B.hortorum","England",5.496
1999,"B.pascuorum","Austria",5.19
1999,"B.pascuorum","Belgium",5.26
1999,"B.pascuorum","England",5.30625
1999,"B.pratorum","Belgium",5.238
2000,"B.hortorum","England",5.51666666666667
2000,"B.lapidarius","Belgium",6.02
2000,"B.pascuorum","Belgium",5.434
2000,"B.pratorum","Belgium",5.53
2000,"B.pratorum","England",5.43333333333333
2001,"B.hortorum","Austria",6.04333333333333
2001,"B.hortorum","Belgium",6.12
2001,"B.pascuorum","Austria",5.2325
2001,"B.pascuorum","England",5.33666666666667
2001,"B.pratorum","Austria",5.222
2001,"B.pratorum","England",5.40333333333333
2002,"B.hortorum","Belgium",5.76
2002,"B.lapidarius","Belgium",6.205
2002,"B.pascuorum","Austria",5.168
2002,"B.pratorum","Belgium",5.55
2002,"B.pratorum","England",5.42333333333333
2003,"B.hortorum","Austria",6.07
